name,fk_zipcode_id
Choujiang,711
Ouango,390
Tišina,376
Luhansk,773
Peshtera,900
Grand Rapids,390
Bauru,134
Besteiros,689
Kasamwa,71
Kutamandarakan,353
Antang,594
Altuf’yevskiy,445
Zhonghualu,915
Carvalhal,551
Pirassununga,229
Jiangnan,156
Popovi,606
Huangtudian,783
Sarapul,805
Maggotty,41
Miguel Aleman,310
Xinmin,674
Sambirejo,355
London,622
Viking,812
Tiouli,837
Faaone,381
Paynjuwayn,183
Fubei,233
San Kamphaeng,632
Maythalūn,621
Hecun,960
Hà Tiên,50
Camperdown,271
Maldonado,22
Fuchun,21
Zhenzhushan,276
Medovene,662
Fernández,642
Itabaianinha,926
Yaopi,540
Huangling,327
Visaginas,108
Jiangduo,884
Zhengji,597
Yazd,409
Banqiao,412
Dogondoutchi,604
Cipesing,106
Praia das Maçãs,66
Mouquim,643
Yaguarón,183
Ransiki,381
South Bend,222
Narva,656
Mansa,375
Cishangang,622
Xitiangezhuang,940
Paços,220
San Antonio de los Cobres,113
Muskegon,115
Cieplice Śląskie Zdrój,99
Horta,553
Mantampay,264
Kranj,619
Delong,315
Wenwuba,267
Douane,683
Neiafu,296
Cane,692
Draginje,93
Verkhniy Yasenov,652
Zhong’an,709
Barrancas,35
Cajolá,227
Laliki,661
Almeirim,163
Linköping,773
Yoro,513
Tsuyama,711
Senada,756
Kurume,116
Benevides,312
Yiqi,3
Puerto Barrios,962
Bucheon-si,858
Ma’an,905
Santa Cruz,510
Krajan Demit,501
Aībak,1000
Shimen,960
Oropesa,698
Peza e Madhe,937
La Jicaral,366
Gangnan,406
Abeokuta,853
Cherven Bryag,986
Ciwaru,546
Songwon,253
Cikaras,20
Benguela,866
Jiacun,846
Lijiaping,113
Pawa,844
København,853
Vitry-sur-Seine,794
Tavira,781
Pavia,608
Tân Sơn,761
Hujirt,114
Balete,839
Lyaskelya,900
Sapareva Banya,658
Zerkten,408
Raub,412
Xinqiao,626
Del Valle,322
Konza,859
Drammen,554
Tournai,670
Le Mans,108
Taohua,483
Daur,137
San Vicente,494
Ifanes,400
Sukaraharja,810
Lisičani,783
Shamkhor,166
Charlotte,736
Bantian,336
Shirbīn,298
Babahoyo,830
Molodizhne,312
Antopal’,780
Cagnes-sur-Mer,704
Cachoeira do Sul,290
Temenggungan,165
Marseille,811
Wojnicz,665
Muye,391
Hougaoshizhuang,113
Włocławek,799
Valday,562
كاف الجاع,781
Ljungby,980
Guta,306
Memphis,150
Belogorskīy,683
Koh Tao,926
Balong,508
Ресен,70
Boa Viagem,273
Quzi,192
Casilda,67
Michurinskoye,479
Plesná,702
Solnice,584
Bergen,439
Maţāy,496
Yangdi,440
Épinal,18
Krajan Timur Suger Kidul,166
Hexi,600
Argostólion,886
Bourges,483
Jatibonico,722
Liquica,242
Shantoudian,272
Bang Bo District,863
Shihuang,668
Daxi,935
Göteborg,675
Kuzovatovo,568
Taquara,569
Dębnica Kaszubska,677
Kushchëvskaya,591
Phu Kam Yao,170
Murcia,79
Ejigbo,546
Djibouti,74
Mongaguá,568
Tubungan,11
Alès,266
Heping,637
Mērsrags,52
Woro,978
Uppsala,168
Krasnyy Gulyay,564
Mahajanga,347
Atlanta,578
Camplong,87
Lugait,17
Faaa,947
Taha Man Zu,181
Borzęcin,582
Agualote,1000
Timbrangan,542
Kopang Satu,500
Kommunar,242
Spartanburg,281
Las Vegas,227
Moscavide,589
Chame,367
Babo-Pangulo,563
Onokivtsi,935
Blang Dalam,349
Jaunpiebalga,280
Tutul,185
Roboré,605
Goght’,719
Slyudyanka,714
Seixal,726
Ziftá,191
Mondoteko,750
Gemuruh,523
Storozhnytsya,16
Palaió Fáliro,201
Deventer,359
Bulls,483
Lannion,210
Cawalo,937
Luoyuan,447
Potęgowo,563
Shenshu,442
Fonte da Vaca,301
Novo Aripuanã,446
Sarrat,496
Iperó,237
Ratchaburi,2
Ungsang,59
Marco,424
Ouro Preto,354
Paruro,489
Masaran,458
Tanggu,735
Kafue,762
Gulariyā,778
Avignon,549
Novyy Svit,759
Guariba,407
Domalanoan,947
Kokop,846
Piúma,777
Canalete,844
Lokokrangan,59
Pangradin Satu,736
Wenfeng Zhen,607
Taphan Hin,830
Akropong,889
Cikaras,810
Kapuskasing,828
São Sepé,77
Ivoti,547
Acajutla,293
Malaga,147
Baiyin,52
Minchinābād,357
Kristinehamn,15
Mirsk,488
Birātnagar,518
Wongsorejo,138
Czerniewice,892
Temizhbekskaya,17
Tanbuqiao,40
Argentan,54
Batawa,907
Brongkalan,331
Telsiai,580
Varnávas,425
Sindong,611
Velikiy Ustyug,174
Diawara,646
Bang Krathum,696
Perovo,546
Tzaneen,986
Shuinanxu,707
Caçapava do Sul,136
Sukamaju,7
Anchau,727
Jocotán,376
Malanów,593
Topi,259
Pantukan,668
Tiwi,77
Pandan,449
Vaiamonte,999
Zaječí,532
Xiadahe,523
Jiling,891
Bayasgalant,892
Leninsk,252
Chã,726
Don Chedi,314
Quận Sáu,373
Mporokoso,125
Ta Phraya,867
Jubao,774
Tecpán Guatemala,32
Horní Lideč,148
Nantes,748
Luokeng,261
Ban Phan Don,120
Palkovice,573
Yangqing,315
Les Cèdres,292
Karangbenda,314
San Miguel,59
Dalong,138
Plyussa,872
Veliko Tŭrnovo,543
Bohai,522
Damulog,415
Malasugui,40
Norrahammar,559
Laholm,374
Ebetsu,811
Ebaye,923
Quchi,404
Devin,899
Khust,626
Nioki,88
Coari,83
Guanqing,538
Greeley,64
Villeneuve-la-Garenne,982
Sintung Timur,241
Titiakar,862
Frankfurt am Main,229
San Bernardino,315
Béreldange,112
Cheremshan,196
Cícero Dantas,104
Visaginas,318
Casa Branca,982
Pateh Sam,334
Łąck,203
Blimbing,415
Ribeirinha,239
Takehara,546
Alençon,21
Kislyakovskaya,410
Kými,928
Colonia Elisa,826
Bayanhoshuu,773
Zafar,439
Carvalho,841
Balaoang,10
Végueta,779
Asen,389
Marne-la-Vallée,182
Campo,748
Tatebal,748
Kolsh,801
Nakhodka,582
Wangxian,79
Pondohan,813
Wunat,493
Helsingborg,84
São Carlos,249
Aganan,86
Kilindoni,779
Nanterre,842
Oslo,717
Xuwei,7
Skopje,516
Cintra,311
Daqiao,866
Sabanalarga,16
Oroquieta,926
Azua,914
Zhichu,55
Ash Shaḩānīyah,887
Fortuna,934
Gal’bshtadt,213
Lebedyan’,292
Santa Lucía Cotzumalguapa,668
Bebedouro,380
Huandiqiao,689
Palma De Mallorca,455
Wa’erma,964
Shuangmiao,587
Normanton,58
Cuauhtemoc,200
Pinaring,39
Sarany,996
Potok Złoty,916
Jeblog Satu,829
Lohayong,947
Zhaowanzhuang,710
Chyňava,495
Narok,93
Halamendu,501
La Trinidad,409
Sumbergebang,825
Kurchatov,565
Khelyulya,903
Pedinó,595
Varberg,222
Napu,346
Maubasa,604
Abucay,5
Quisqueya,678
Tiniguiban,723
Roma,127
Clermont-Ferrand,243
North Little Rock,595
Xiamayu,728
Topchikha,749
Kazlų Rūda,707
Jintan,481
Inčukalns,414
Kamwenge,279
Finote Selam,118
Majdal Banī Fāḑil,694
Dingjiaqiao,344
Gaoua,804
Logroño,221
Awarawar,803
Ngala,82
Ōmiya,650
Cipondok,545
Thung Khru,455
Maracanaú,918
Caridad,428
Villeurbanne,344
Colombes,657
Indulang,212
Putina,491
Vangaži,834
Mników,50
Chicacao,369
Gechuan,506
Verkhnyaya Toyma,504
Brzeźnica,63
Cakungsari,395
Muxagata,458
Horana South,893
København,30
Sharjah,46
Saitama,799
Mobai,971
Bondoukou,569
Betong,268
Lhabupu,17
Getulio,36
Huatai,316
Lyon,777
Blahodatne,171
Zhangduangu,376
Itabirito,353
Barru,213
Orekhovo-Borisovo Severnoye,151
Moyamba,563
Banjar Tegal Belodan,58
Rancharia,598
Santa Cruz,305
Yanglin,753
Coronel Fabriciano,818
Charlotte,277
Ipoh,177
Anuradhapura,859
Tawangrejo,951
Feteira Pequena,112
Tangzha,962
Indianapolis,728
Yamazakichō-nakabirose,604
Jin’e,779
Rachanie,517
Tabivere,570
Vardane,63
Pardubice,755
Rönninge,959
Inhambane,376
Taihu,115
Paço de Arcos,388
Datong,830
Säffle,362
Montauban,200
Obala,156
Bang Lamung,166
Ålesund,220
Jivia,661
Phoenix,676
Guadalupe,109
Sukkozero,409
Baoluan,957
Nashville,239
Nguluhan,586
Vredefort,305
Reims,558
Hamburg,261
Isdalstø,685
Halton,569
Jatiraya,836
Daraitan,709
Xijiao,254
Nowe Brzesko,605
Dolulolong,910
Sarbīsheh,31
Santa Catalina,56
Cienfuegos,865
Ciechanowiec,570
Jiaozhou,962
Guantun,804
Spas’ke,103
Taganskiy,13
Qamdo,756
Triolet,287
Helvecia,570
Boende,792
Vacha,579
Charlotte,230
Uralets,735
Gaula,70
Syrostan,258
Néa Palátia,80
Wongka,638
Les Cèdres,153
Covas da Raposa,580
Krajan Bakalan,728
Kannus,599
Kolambugan,652
Arlington,439
Koniaków,303
Dębnica Kaszubska,429
Shuishiying,563
Zürich,472
Siso,732
Randudongkal,582
Honolulu,120
Barajevo,784
Gudong,529
Sulęcin,396
Upton,2
Qiaobian,282
Yezhu,147
Maskinongé,522
Jāsim,694
Saukkola,124
Bilozerka,713
San Agustín,190
Bordeaux,442
Luoluopu,445
Magsaysay,113
Lagunas,149
Göteborg,88
Dongyong,983
Shuyuan Zhen,963
Eybens,775
Antanifotsy,619
Qiubin,34
Biecz,65
Gandzak,499
Boshof,629
Royan,827
Ngala,335
Thākurgaon,934
Nanggorak,104
Aguasay,554
Mogoditshane,433
Los Angeles,720
Yiliu,92
Köln,104
Kurume,395
Had Kourt,279
Long’an Chengxiangzhen,730
Al Ḩashwah,518
Bryukhovychi,134
Sentieiras,673
Yongtai,564
Uście Gorlickie,725
Cincinnati,464
Lubao,49
Mingcheng,503
Cholargós,467
Dean,381
Boyany,293
Klang,394
Motala,694
Al Muwayh,653
Xuebu,372
Padre Burgos,731
Veliko Tŭrnovo,362
Tagakpan,433
Punta Cana,795
Linghu,196
Kompóti,624
Danyang,16
Cuevas,324
Curahnongko,208
Quiling,251
Cantao-an,237
Tahara,62
Sviblovo,825
Uman’,965
Králův Dvůr,145
Luxi,591
Orito,852
High River,142
Albardón,389
Sagopshi,998
Shatian,427
Jardia,566
Baixo Guandu,679
Jeruk,7
Huangyang,640
Plyeshchanitsy,981
Błażowa,595
Cabanbanan,48
Telaga,256
Paurito,4
Karakol,686
Fengle,124
Granville,810
Limassol,807
Bāniyās,366
Póvoa,982
Santol,810
Xilian,321
Gonayiv,222
Načeradec,799
Devesa,976
Iba,780
Mönchengladbach,832
Nanjing,650
Camilo Aldao,123
Muliang,648
Sefrou,224
Labytnangi,34
Espanola,800
Mempawah,875
Nuoxizhi,771
Charlottetown,990
Bijie,212
Krajan Puru,588
Santa Teresa,225
Mirecourt,752
Polo,48
Tugulym,279
Sacramento,52
Hudlice,676
Ţalkhā,590
Fovissste,87
Huaquirca,205
Fort Macleod,694
Wuyang,534
Baishi,475
Eshowe,487
Wang Nam Yen,352
Thoen,169
Ndewel,94
Bořitov,808
Linshi,515
Chocz,666
Atakpamé,149
Longsheng,114
Xindai,467
Mama,647
Strasbourg,734
Madrid,578
Gyangqai,477
La Fortuna,645
Kuivaniemi,969
Vila Fria,33
Saintes,359
Shuinan,696
Bāmyān,788
Lökbatan,747
Barbosa,522
Nacka,940
Hanfeng,381
Cinagrog Girang,131
Bagumbayan,372
Ţubarjal,304
Wageningen,167
Zhonghuopu,347
Xianzong,936
Shuitai,490
Novki,648
Cláudio,497
Dongxiao,352
Sindi,412
Fujinomiya,449
San Antonio,382
Angoram,652
Faeanak Dua,898
Nong Bua Lamphu,293
Sembungan Kidul,354
Ledeč nad Sázavou,487
Patos de Minas,234
Sebewe,321
Sami,986
Zaraza,775
Xiangyangpu,457
Senduro,876
Áno Kopanákion,368
Kedung,805
Umuarama,473
Gurlan,340
Gandzak,416
Pilzno,366
Karlstad,644
Kuytun,216
Zhukovo,825
Almaty,40
Qinghu,899
Mörrum,364
Saryaghash,353
Halle,784
Tangban,938
Crossmolina,771
Tonoas Municipal Building,195
Kendaruan,223
Laguna de Perlas,990
Qaram Qōl,874
Malesína,501
Hamonggolele,266
Middelburg,843
Lusigang,598
Dresden,790
Nelidovo,747
Semerak,47
Alor Setar,379
Ono,677
Sopla,332
Stronie,166
Matala,652
Butou,242
Astana,46
Creighton,425
Leidian,521
Bua Yai,260
