ProductId,Name,Price,Catagory
1,"Soup - Knorr, Chicken Gumbo",48,alcohol
2,"Lemonade - Mandarin, 591 Ml",15,alcohol
3,Banana,49,alcohol
4,Pepper - Yellow Bell,54,fruit
5,Gelatine Leaves - Bulk,75,alcohol
6,Chickensplit Half,53,Vegetable
7,"Jam - Blackberry, 20 Ml Jar",19,fruit
8,Swordfish Loin Portions,14,bread
9,Sterno - Chafing Dish Fuel,27,fruit
10,"Wine - Red, Antinori Santa",92,canned
11,Prunes - Pitted,83,Vegetable
12,Gooseberry,42,fruit
13,"Soup - Knorr, Country Bean",44,bread
14,Tobasco Sauce,72,canned
15,"Mushrooms - Black, Dried",74,bread
16,"Cheese - Cheddar, Old White",78,bread
17,Bread Cranberry Foccacia,89,fruit
18,Ice Cream Bar - Oreo Cone,17,bread
19,"Soup - Campbells, Classic Chix",48,fruit
20,Cheese - Gouda Smoked,30,Vegetable
21,Lemon Tarts,36,canned
22,Mousse - Passion Fruit,72,bread
23,"Cup - 6oz, Foam",74,canned
24,Lobster - Tail 6 Oz,58,bread
25,Dried Apple,74,bread
26,Beef - Short Ribs,82,canned
27,Triple Sec - Mcguinness,59,bread
28,Muffin Mix - Raisin Bran,48,alcohol
29,"Pasta - Penne Primavera, Single",16,fruit
30,Wine - Acient Coast Caberne,52,fruit
31,Shiratamako - Rice Flour,17,bread
32,Bagels Poppyseed,31,canned
33,Raspberries - Fresh,29,bread
34,Kellogs Special K Cereal,58,alcohol
35,"Iced Tea - Lemon, 340ml",79,bread
36,Bread - Olive,90,alcohol
37,Beef - Eye Of Round,97,bread
38,Rosemary - Dry,50,bread
39,Pop - Club Soda Can,50,fruit
40,"Tabasco Sauce, 2 Oz",40,fruit
41,Wine - Zinfandel Rosenblum,15,canned
42,Lettuce - Baby Salad Greens,41,bread
43,Snapple Raspberry Tea,15,Vegetable
44,Cleaner - Bleach,91,alcohol
45,Sprouts - Pea,36,bread
46,Coffee - Dark Roast,23,canned
47,Towel Dispenser,70,canned
48,Muffins - Assorted,27,alcohol
49,Pears - Anjou,30,fruit
50,Bread - French Baquette,20,fruit
51,"Napkin - Cocktail,beige 2 - Ply",41,fruit
52,Papayas,43,alcohol
53,Icecream Bar - Del Monte,71,bread
54,Puree - Pear,35,bread
55,Cups 10oz Trans,10,bread
56,Soup V8 Roasted Red Pepper,92,fruit
57,Cranberries - Dry,30,fruit
58,Sambuca - Ramazzotti,29,alcohol
59,Cheese - Taleggio D.o.p.,21,alcohol
60,Raspberries - Frozen,87,fruit
61,Table Cloth 90x90 Colour,94,fruit
62,Lobster - Cooked,26,fruit
63,Pie Shells 10,83,alcohol
64,"Lamb - Leg, Diced",86,alcohol
65,Passion Fruit,22,canned
66,Jolt Cola - Red Eye,36,fruit
67,Island Oasis - Wildberry,93,alcohol
68,"Nut - Peanut, Roasted",99,alcohol
69,Shallots,59,Vegetable
70,Steam Pan - Half Size Deep,73,alcohol
71,Wine - Magnotta - Cab Franc,49,alcohol
72,Milkettes - 2%,69,canned
73,Basil - Pesto Sauce,34,fruit
74,"Beef - Tongue, Cooked",25,canned
75,Skirt - 24 Foot,58,Vegetable
76,Longos - Chicken Curried,48,fruit
77,Bacardi Breezer - Tropical,47,canned
78,"Juice - Apple, 1.36l",56,Vegetable
79,Tea - Green,97,canned
80,Pails With Lids,19,fruit
81,"Coke - Classic, 355 Ml",85,fruit
82,Mushroom - Crimini,31,canned
83,Ocean Spray - Ruby Red,79,bread
84,Squash - Guords,38,canned
85,Turkey - Ground. Lean,91,canned
86,Green Scrubbie Pad H.duty,73,bread
87,Wine - Trimbach Pinot Blanc,69,alcohol
88,Beer - Sleeman Fine Porter,93,alcohol
89,Ice Cream Bar - Hagen Daz,56,alcohol
90,Cinnamon Buns Sticky,71,fruit
91,Tamarind Paste,91,fruit
92,Vinegar - White Wine,70,fruit
93,"Beef - Ground, Extra Lean, Fresh",73,Vegetable
94,Sour Puss Raspberry,31,fruit
95,Wine - Cava Aria Estate Brut,67,bread
96,Potatoes - Parissienne,69,canned
97,Appetiser - Bought,56,Vegetable
98,Potatoes - Peeled,89,Vegetable
99,Halibut - Steaks,100,canned
100,Paper Cocktail Umberlla 80 - 180,53,canned
101,Oysters - Smoked,97,alcohol
102,Cookie Trail Mix,82,alcohol
103,Cheese - Bakers Cream Cheese,98,alcohol
104,Catfish - Fillets,99,Vegetable
105,Paper - Brown Paper Mini Cups,33,fruit
106,Bread - 10 Grain,88,fruit
107,Caviar - Salmon,14,Vegetable
108,Flavouring Vanilla Artificial,17,canned
109,Wine - Mondavi Coastal Private,83,Vegetable
110,Wine - Vovray Sec Domaine Huet,22,canned
111,Caviar - Salmon,38,alcohol
112,Eggplant Oriental,73,canned
113,"Fish - Halibut, Cold Smoked",23,canned
114,Foil - 4oz Custard Cup,32,bread
115,Yoplait - Strawbrasp Peac,12,Vegetable
116,Rice - Aborio,87,fruit
117,Beer - Camerons Auburn,52,Vegetable
118,Potatoes - Idaho 80 Count,65,Vegetable
119,Quiche Assorted,86,Vegetable
120,Raisin - Dark,18,alcohol
121,Sugar - Crumb,62,alcohol
122,Wine - Placido Pinot Grigo,25,alcohol
123,"Lamb - Whole, Fresh",60,fruit
124,Sauce - Ranch Dressing,42,canned
125,"Lamb - Racks, Frenched",67,fruit
126,Chicken - White Meat With Tender,95,canned
127,Ginger - Crystalized,15,Vegetable
128,Wine - Chablis J Moreau Et Fils,51,alcohol
129,Oil - Sesame,100,Vegetable
130,Pastry - Trippleberry Muffin - Mini,49,Vegetable
131,Clam - Cherrystone,52,fruit
132,Bamboo Shoots - Sliced,81,fruit
133,Chick Peas - Dried,36,alcohol
134,Towel Dispenser,69,Vegetable
135,Miso - Soy Bean Paste,45,Vegetable
136,Kale - Red,69,alcohol
137,Coffee Swiss Choc Almond,34,bread
138,Pork - Shoulder,69,bread
139,Baking Powder,30,Vegetable
140,Versatainer Nc - 9388,13,fruit
141,"Quail - Whole, Boneless",40,alcohol
142,Puree - Mocha,90,canned
143,Ice Cream - Turtles Stick Bar,65,bread
144,Potatoes - Idaho 100 Count,23,canned
145,Syrup - Chocolate,22,fruit
146,Bread - Burger,34,bread
147,Soupcontfoam16oz 116con,47,canned
148,Extract Vanilla Pure,29,Vegetable
149,Table Cloth 54x72 Colour,35,fruit
150,Icecream - Dstk Super Cone,64,alcohol
151,Wine - Peller Estates Late,97,canned
152,"Bread - Roll, Whole Wheat",32,alcohol
153,Parsley Italian - Fresh,52,Vegetable
154,Banana - Leaves,48,fruit
155,Nougat - Paste / Cream,18,bread
156,Wine - Savigny - Les - Beaune,48,Vegetable
157,Ecolab - Power Fusion,41,canned
158,Fennel,72,Vegetable
159,Salt And Pepper Mix - Black,79,fruit
160,Cardamon Ground,97,fruit
161,Gingerale - Diet - Schweppes,17,canned
162,"Wine - White, Mosel Gold",23,Vegetable
163,"Apple - Delicious, Golden",76,fruit
164,Sobe - Orange Carrot,52,Vegetable
165,Foil Cont Round,58,bread
166,Pear - Halves,39,alcohol
167,Instant Coffee,84,canned
168,"Pasta - Penne, Lisce, Dry",23,canned
169,"Beets - Candy Cane, Organic",71,fruit
170,Marzipan 50/50,62,fruit
171,Water - Spring Water 500ml,21,bread
172,Towel Dispenser,59,fruit
173,"Clams - Littleneck, Whole",11,bread
174,Urban Zen Drinks,41,Vegetable
175,"Capon - Breast, Double, Wing On",76,bread
176,Beer - Paulaner Hefeweisse,27,fruit
177,Kellogs Special K Cereal,71,Vegetable
178,Coffee Cup 8oz 5338cd,29,bread
179,Ecolab - Hand Soap Form Antibac,84,alcohol
180,Ham - Cooked Bayonne Tinned,21,bread
181,Chocolate Bar - Coffee Crisp,55,alcohol
182,Beef - Tenderloin,82,bread
183,Lotus Leaves,36,canned
184,"Soup - Beef, Base Mix",89,bread
185,"Brownies - Two Bite, Chocolate",87,alcohol
186,Rum - Mount Gay Eclipes,98,canned
187,Sausage - Chorizo,28,fruit
188,Appetizer - Veg Assortment,100,alcohol
189,Bag Stand,97,Vegetable
190,"Pasta - Lasagna, Dry",63,Vegetable
191,"Nut - Pistachio, Shelled",29,fruit
192,"Yeast - Fresh, Fleischman",70,bread
193,Bread - Kimel Stick Poly,99,canned
194,Filo Dough,53,bread
195,"Wine - White, Lindemans Bin 95",75,Vegetable
196,"Beef - Rib Roast, Capless",59,bread
197,Beer - Moosehead,99,fruit
198,"Soup - Knorr, Ministrone",81,bread
199,Bread Ww Cluster,97,Vegetable
200,Beer - Maudite,90,Vegetable
201,Lamb Leg - Bone - In Nz,81,fruit
202,Trueblue - Blueberry 12x473ml,45,bread
203,"Wine - Red, Harrow Estates, Cab",30,Vegetable
204,Grenadine,80,bread
205,"Wine - Red, Concha Y Toro",21,Vegetable
206,Dish Towel,37,canned
207,Muffin - Mix - Creme Brule 15l,75,Vegetable
208,Plasticspoonblack,73,alcohol
209,Sesame Seed,58,alcohol
210,"Bread - Rolls, Corn",49,Vegetable
211,Pop Shoppe Cream Soda,27,alcohol
212,Duck - Legs,33,bread
213,"Beef - Chuck, Boneless",36,alcohol
214,Scallops - Live In Shell,21,canned
215,Sauce - Rosee,56,fruit
216,Momiji Oroshi Chili Sauce,92,bread
217,Appetizer - Sausage Rolls,23,fruit
218,Loquat,67,canned
219,Basil - Seedlings Cookstown,10,canned
220,Cheese - Grie Des Champ,100,Vegetable
221,Food Colouring - Pink,25,fruit
222,Figs,22,fruit
223,Beef Wellington,43,bread
224,"Split Peas - Green, Dry",97,bread
225,Mussels - Cultivated,25,fruit
226,"Coffee - Beans, Whole",25,alcohol
227,Ocean Spray - Ruby Red,13,Vegetable
228,"Coconut - Shredded, Unsweet",76,canned
229,"Sugar - Sweet N Low, Individual",75,fruit
230,Muffin Mix - Oatmeal,77,fruit
231,Langers - Cranberry Cocktail,89,fruit
232,Cheese - Gouda Smoked,40,bread
233,Towel Dispenser,100,alcohol
234,Cheese - St. Andre,27,bread
